Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,1,1,0,0,0.00,3,lbw,1,v Sri Lanka,Ahmedabad,6 Nov 2005
DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Rajkot,9 Nov 2005
80,106,73,9,3,109.58,4,caught,2,v Sri Lanka,Vadodara,12 Nov 2005
17,39,28,1,0,60.71,8,run out,1,v South Africa,Hyderabad,16 Nov 2005
DNB,-,-,-,-,-,-,-,2,v South Africa,Bengaluru,19 Nov 2005
14,41,26,0,0,53.84,8,caught,1,v South Africa,Eden Gardens,25 Nov 2005
12,37,26,1,0,46.15,6,caught,2,v South Africa,Wankhede,28 Nov 2005
68,68,53,11,1,128.30,4,caught,1,v Pakistan,Peshawar,6 Feb 2006
DNB,-,-,-,-,-,-,-,2,v Pakistan,Rawalpindi,11 Feb 2006
72*,60,46,13,0,156.52,7,not out,2,v Pakistan,Lahore,13 Feb 2006
2*,23,5,0,0,40.00,7,not out,2,v Pakistan,Multan,16 Feb 2006
77*,88,56,6,4,137.50,4,not out,2,v Pakistan,Karachi,19 Feb 2006
20,55,28,2,0,71.42,8,caught,1,v England,Delhi,28 Mar 2006
38,99,55,2,0,69.09,7,bowled,2,v England,Faridabad,31 Mar 2006
13*,11,6,1,1,216.66,7,not out,1,v England,Margao,3 Apr 2006
10*,20,13,1,0,76.92,7,not out,2,v England,Kochi,6 Apr 2006
96,174,106,10,3,90.56,2,caught,1,v England,Jamshedpur,12 Apr 2006
3,11,10,0,0,30.00,7,bowled,1,v Pakistan,Abu Dhabi,18 Apr 2006
59,80,72,5,0,81.94,3,bowled,1,v Pakistan,Abu Dhabi,19 Apr 2006
18,19,11,2,1,163.63,6,caught,2,v West Indies,Kingston,18 May 2006
2,9,7,0,0,28.57,7,bowled,2,v West Indies,Kingston,20 May 2006
15,-,26,1,0,57.69,5,run out,1,v West Indies,Basseterre,23 May 2006
46*,-,58,6,0,79.31,6,not out,1,v West Indies,Port of Spain,26 May 2006
14,-,19,2,0,73.68,3,bowled,2,v West Indies,Port of Spain,28 May 2006
DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Colombo (SSC),18 Aug 2006
2,7,10,0,0,20.00,5,bowled,1,v West Indies,Kuala Lumpur,14 Sep 2006
DNB,-,-,-,-,-,-,-,2,v Australia,Kuala Lumpur,16 Sep 2006
18,20,13,4,0,138.46,6,bowled,1,v West Indies,Kuala Lumpur,20 Sep 2006
23,34,34,0,1,67.64,7,caught,2,v Australia,Kuala Lumpur,22 Sep 2006
7,37,22,0,0,31.81,6,caught,2,v England,Jaipur,15 Oct 2006
51,82,65,1,2,78.46,6,run out,1,v West Indies,Ahmedabad,26 Oct 2006
28,44,23,2,0,121.73,6,lbw,1,v Australia,Mohali,29 Oct 2006
14,32,27,3,0,51.85,5,caught,2,v South Africa,Durban,22 Nov 2006
55,61,48,3,4,114.58,6,caught,2,v South Africa,Cape Town,26 Nov 2006
26,36,21,4,1,123.80,6,caught,2,v South Africa,Gqeberha,29 Nov 2006
44,75,49,2,2,89.79,5,caught,1,v South Africa,Centurion,3 Dec 2006
62*,56,42,3,4,147.61,4,not out,1,v West Indies,Nagpur,21 Jan 2007
6,26,19,0,0,31.57,6,caught,1,v West Indies,Cuttack,24 Jan 2007
40*,31,20,1,3,200.00,5,not out,1,v West Indies,Vadodara,31 Jan 2007
TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Eden Gardens,8 Feb 2007
48,95,68,1,0,70.58,6,caught,2,v Sri Lanka,Rajkot,11 Feb 2007
67*,91,74,4,0,90.54,6,not out,2,v Sri Lanka,Margao,14 Feb 2007
DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Visakhapatnam,17 Feb 2007
0,5,3,0,0,0.00,7,caught,1,v Bangladesh,Port of Spain,17 Mar 2007
29,34,25,2,1,116.00,4,caught,1,v Bermuda,Port of Spain,19 Mar 2007
0,3,1,0,0,0.00,7,lbw,2,v Sri Lanka,Port of Spain,23 Mar 2007
91*,182,106,7,0,85.84,3,not out,2,v Bangladesh,Mirpur,10 May 2007
36,73,54,4,0,66.66,3,caught,1,v Bangladesh,Mirpur,12 May 2007
2,13,4,0,0,50.00,7,run out,1,v Africa XI,Bengaluru,6 Jun 2007
33,56,38,2,2,86.84,4,bowled,1,v Africa XI,Chennai,9 Jun 2007
