Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Visakhapatnam,17 Dec 2017
4*,5,3,1,0,133.33,6,not out,2,v South Africa,Durban,1 Feb 2018
DNB,-,-,-,-,-,-,-,2,v South Africa,Centurion,4 Feb 2018
10,38,22,0,0,45.45,6,caught,1,v South Africa,Cape Town,7 Feb 2018
42*,66,43,3,1,97.67,6,not out,1,v South Africa,Johannesburg,10 Feb 2018
13,28,17,1,0,76.47,7,caught,1,v South Africa,Gqeberha,13 Feb 2018
DNB,-,-,-,-,-,-,-,2,v South Africa,Centurion,16 Feb 2018
DNB,-,-,-,-,-,-,-,2,v England,Nottingham,12 Jul 2018
37,-,59,2,0,62.71,6,caught,2,v England,Lord's,14 Jul 2018
42,90,66,4,0,63.63,5,caught,1,v England,Leeds,17 Jul 2018
0,-,3,0,0,0.00,5,caught,1,v Hong Kong,Dubai (DSC),18 Sep 2018
DNB,-,-,-,-,-,-,-,2,v Pakistan,Dubai (DSC),19 Sep 2018
33,-,37,3,0,89.18,4,caught,2,v Bangladesh,Dubai (DSC),21 Sep 2018
DNB,-,-,-,-,-,-,-,2,v Pakistan,Dubai (DSC),23 Sep 2018
8,-,17,0,0,47.05,4,lbw,2,v Afghanistan,Dubai (DSC),25 Sep 2018
36,-,67,3,0,53.73,5,caught,2,v Bangladesh,Dubai (DSC),28 Sep 2018
DNB,-,-,-,-,-,-,-,2,v West Indies,Guwahati,21 Oct 2018
20,31,25,0,1,80.00,5,bowled,1,v West Indies,Visakhapatnam,24 Oct 2018
7,-,11,0,0,63.63,6,caught,2,v West Indies,Pune,27 Oct 2018
23,-,15,2,0,153.33,5,caught,1,v West Indies,Brabourne,29 Oct 2018
DNB,-,-,-,-,-,-,-,2,v West Indies,Thiruvananthapuram,1 Nov 2018
51,110,96,3,1,53.12,5,lbw,2,v Australia,Sydney,12 Jan 2019
55*,96,54,0,2,101.85,5,not out,2,v Australia,Adelaide,15 Jan 2019
87*,-,114,6,0,76.31,4,not out,2,v Australia,Melbourne,18 Jan 2019
DNB,-,-,-,-,-,-,-,2,v New Zealand,Napier,23 Jan 2019
48*,48,33,5,1,145.45,5,not out,1,v New Zealand,Mount Maunganui,26 Jan 2019
1,13,6,0,0,16.66,5,bowled,1,v New Zealand,Wellington,3 Feb 2019
59*,-,72,6,1,81.94,5,not out,2,v Australia,Hyderabad,2 Mar 2019
0,-,1,0,0,0.00,7,caught,1,v Australia,Nagpur,5 Mar 2019
26,-,42,2,1,61.90,5,bowled,2,v Australia,Ranchi,8 Mar 2019
34,69,46,2,0,73.91,5,caught,2,v South Africa,Southampton,5 Jun 2019
27,20,14,3,1,192.85,5,caught,1,v Australia,The Oval,9 Jun 2019
1,8,2,0,0,50.00,5,caught,1,v Pakistan,Manchester,16 Jun 2019
28,75,52,3,0,53.84,5,stumped,1,v Afghanistan,Southampton,22 Jun 2019
56*,99,61,3,2,91.80,6,not out,1,v West Indies,Manchester,27 Jun 2019
42*,54,31,4,1,135.48,6,not out,2,v England,Birmingham,30 Jun 2019
35,52,33,4,0,106.06,6,caught,1,v Bangladesh,Birmingham,2 Jul 2019
DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Leeds,6 Jul 2019
50,114,72,1,1,69.44,7,run out,2,v New Zealand,Manchester,9 Jul 2019
